MOFname,volume [A^3],weight [u],surface_area [m^2/g],void_fraction,void_volume [cm^3/g],functional_groups,metal_linker,organic_linker1,organic_linker2,topology,CO2/N2_selectivity,heat_adsorption_CO2_P0.15bar_T298K [kcal/mol]
mof_unit_pretest_28,1298.343461,709.260263,1740.33,0.26968,0.2973,F,3,4,16,pcu,16.26037363,5.46802
mof_unit_pretest_29,2002.451074,868.3934199999999,2712.76,0.3867,0.537,NH2-HCO,3,14,27,pcu,11.75062397,4.967974
mof_unit_pretest_30,1534.629101,951.66213,1482.66,0.22557,0.2191,I-OEt,2,4,18,pcu,17.95802711,6.072034
mof_unit_pretest_31,2033.553469,995.58428,2540.58,0.31956,0.3931,Me,12,1,10,bcu,25.39120983,5.803627
mof_unit_pretest_32,2776.2598350000003,1199.98268,3117.28,0.36578,0.5096,COOH-OMe,2,24,29,pcu,12.4541596,4.956232
mof_unit_pretest_33,920.860707,791.1949400000001,791.22,0.17359,0.1217,I-NHMe,2,5,13,pcu,19.18901518,6.3690370000000005
mof_unit_pretest_34,4529.021154,1287.85344,4701.36,0.4900899999999999,1.0379,OMe-OEt,3,25,27,pcu,12.9285465,5.32066
mof_unit_pretest_35,1348.618265,996.19844,0.0,0.09917,0.0809,OH-Me,9,5,24,sra,27.13887544,6.894887
mof_unit_pretest_36,704.9624269999999,488.949783,1210.82,0.21938,0.1905,HCO-F,3,10,11,pcu,17.46808633,5.769334
mof_unit_pretest_37,2345.350561,1976.672576,511.79,0.10188,0.0728,NH2-OH,10,50,57,etb,25.36073055,6.365133
mof_unit_pretest_38,5140.2653740000005,2575.1096,2450.29,0.36068,0.4336,NH2-Br,12,1,22,bcu,12.51165092,4.724266
mof_unit_pretest_39,2877.707458,1089.7238,3371.9,0.36291,0.5771,OPr-OEt,3,8,14,pcu,17.41426633,5.823179
mof_unit_pretest_40,3602.187048,1759.70112,2413.59,0.29983,0.3696,OPr-Br,3,13,28,pcu,24.81433562,5.840558000000001
mof_unit_pretest_41,899.1832820000001,621.99964,0.0,0.13385,0.1165,NHMe-Cl,3,10,21,pcu,19.69229759,6.266769999999999
mof_unit_pretest_42,1123.08791,759.34376,834.02,0.12587,0.1121,OH,3,4,9,pcu,59.69567745,6.895952
mof_unit_pretest_43,1354.616724,645.56358,2364.14,0.31035,0.3922,OPr,2,11,16,pcu,13.79875321,5.292586
mof_unit_pretest_44,2991.79617,1837.237078,990.93,0.14273,0.14,Et-F,9,16,23,sra,51.64056543,6.704681
mof_unit_pretest_45,4149.367207,2021.33396,2226.72,0.29638,0.3664,HCO-OMe,4,6,17,acs,29.49546395,5.755008
mof_unit_pretest_46,3270.2097,2408.699558,580.98,0.13726,0.1122,F-NO2,9,17,18,sra,30.32731763,7.059143
mof_unit_pretest_47,938.653499,571.390806,1686.1,0.25901,0.2562,F,2,4,5,pcu,15.12507064,5.455203
mof_unit_pretest_48,1242.33069,689.25392,1558.05,0.22741,0.2468,Ph,3,5,26,pcu,24.04554404,6.075003
mof_unit_pretest_49,1127.804158,851.4953619999999,921.56,0.16376,0.1306,F-HCO,2,4,4,pcu,25.23735653,6.745147
mof_unit_pretest_50,1765.70681,719.6469599999999,2821.79,0.40404,0.597,Et,2,4,8,pcu,8.823012116000001,4.796126
mof_unit_pretest_51,2986.77669,1558.42402,1583.08,0.2157,0.249,CN-OPr,2,11,29,pcu,18.68721541,5.91585
mof_unit_pretest_52,11166.141209,7285.69936,1381.28,0.31604,0.2917,SO3H,3,15,19,nbo,27.95283637,6.29884
mof_unit_pretest_53,3204.377551,1076.15524,3618.77,0.412,0.7388,Me-NHMe,2,3,5,pcu,13.86140025,5.322178
mof_unit_pretest_54,3930.736319,2932.93528,0.0,0.1420799999999999,0.1147,Br,4,11,15,acs,41.80173198,6.872482000000001
mof_unit_pretest_55,2060.870761,1057.616053,1686.12,0.23417,0.2748,OPr-F,3,13,21,pcu,20.37448745,5.770457
mof_unit_pretest_56,2002.77891,968.6164,2332.88,0.36112,0.4497,NO2,2,4,27,pcu,16.78926045,4.87366
mof_unit_pretest_57,8703.81221,4576.48448,2084.91,0.32743,0.375,H-HCO,1,14,14,pcu,15.37905788,5.113114
mof_unit_pretest_58,7759.924248,3678.438611,2818.58,0.42617,0.5414,F-H,3,38,40,fof,16.99043845,5.250892
mof_unit_pretest_59,5361.125859000001,3172.67688,0.0,0.17982,0.183,Ph-NH2,12,1,22,bcu,22.58097842,6.756411999999999
mof_unit_pretest_60,2297.843019,1440.45008,1378.37,0.22512,0.2163,Br-NHMe,9,4,17,sra,14.29292785,5.749389
mof_unit_pretest_61,1835.529738,1071.70676,463.77,0.13263,0.1368,Pr-H,3,10,29,pcu,40.03548747,6.6949380000000005
mof_unit_pretest_62,1273.934725,790.96736,1596.3,0.2279699999999999,0.2211,Cl-NHMe,3,10,27,pcu,11.81623426,5.771527
mof_unit_pretest_63,2885.593213,1440.54822,2826.02,0.37975,0.4581,Br-CN,2,14,29,pcu,15.50823143,5.2610790000000005
mof_unit_pretest_64,3175.972883,1450.430826,3474.89,0.37733,0.4976,F-NO2,9,18,20,sra,27.88096559,6.435694
mof_unit_pretest_65,2308.995242,1877.612676,512.92,0.1176599999999999,0.0871,Me-COOH,10,42,57,etb,29.12933441,5.903367
mof_unit_pretest_66,807.457069,623.47524,623.82,0.11388,0.0888,CN-OEt,2,10,13,pcu,28.76097503,6.729953
mof_unit_pretest_67,1115.0188,667.61216,1302.86,0.20417,0.2054,H,2,14,22,pcu,16.54275423,6.052718
mof_unit_pretest_68,3195.946373,2436.5309,819.97,0.1507599999999999,0.1191,OPr-I,9,8,16,sra,40.73790669,6.589752000000001
mof_unit_pretest_69,1618.875012,989.59984,991.71,0.1503,0.1481,HCO-OPr,3,11,17,pcu,32.86073154,6.829721000000001
mof_unit_pretest_70,1595.883568,1457.367,415.22,0.1012899999999999,0.0668,I-NHMe,9,12,18,sra,14.274235,6.442126999999999
mof_unit_pretest_71,3847.294236,1657.14,2824.67,0.32621,0.4561,Me-NH2,9,7,18,sra,53.93148842,6.743413
mof_unit_pretest_72,1083.1595109999998,619.12608,2223.17,0.28107,0.2961,NH2,3,5,17,pcu,19.25061033,5.918114
mof_unit_pretest_73,1791.273742,887.6646400000001,2161.41,0.35843,0.4356,NO2-SO3H,2,1,26,pcu,11.78417117,5.414332
mof_unit_pretest_74,1481.678427,905.61568,975.82,0.15488,0.1526,Me-Ph,3,12,18,pcu,27.11817261,6.713894
mof_unit_pretest_75,673.271851,571.39752,0.0,0.09625,0.0683,SO3H,2,10,11,pcu,87.94253566,8.766684
mof_unit_pretest_76,1922.138401,1191.622469,1104.15,0.18695,0.1816,F-OPr,3,13,16,pcu,30.01715152,6.186185
mof_unit_pretest_77,1420.577395,1196.34704,0.0,0.05952,0.0426,COOH,9,5,2,sra,111.2950997,9.841972
mof_unit_pretest_78,1657.325834,1438.81732,0.0,0.05451,0.0378,Me-OPr,4,5,24,acs,27.88407813,7.305707000000001
mof_unit_pretest_79,5135.054046,2851.24078,1485.65,0.26508,0.2875,HCO-OH,2,9,9,nbo,22.14181167,5.688804
mof_unit_pretest_80,1622.3363869999998,1133.33268,1304.08,0.22748,0.1961,Br-NH2,2,9,13,pcu,15.17341797,6.3381300000000005
mof_unit_pretest_81,2935.906056,1699.84404,1930.56,0.3584199999999999,0.3728,SO3H-Br,2,22,29,pcu,20.78178285,6.167477
mof_unit_pretest_82,7601.19028,2560.938,3576.52,0.5202399999999999,0.9299,Cl,9,28,28,sra,30.40290463,5.96201
mof_unit_pretest_83,1782.620844,901.55428,1745.51,0.23733,0.2826,NHMe,3,13,19,pcu,14.30214339,5.5444260000000005
mof_unit_pretest_84,944.265195,591.43008,1400.35,0.22745,0.2187,OH,2,10,17,pcu,28.06664677,6.5041720000000005
mof_unit_pretest_85,2452.176083,2316.951416,176.44,0.04274,0.0272,Et-NO2,10,42,57,etb,46.84726328,7.920887
mof_unit_pretest_86,1831.474881,837.49866,2529.2,0.29978,0.3948,Me-H,3,16,19,pcu,12.42552744,4.704985
mof_unit_pretest_87,8757.478517,5985.13296,1079.39,0.22798,0.2009,COOH-OH,1,15,22,pcu,24.98010636,6.343223
mof_unit_pretest_88,1864.236058,1355.4882,1134.69,0.2343599999999999,0.1941,NO2,2,1,7,pcu,36.91381721,6.412898
mof_unit_pretest_89,3820.805768,1284.45348,3326.38,0.42382,0.7592,Me-NHMe,2,3,15,pcu,14.83463831,6.016611
mof_unit_pretest_90,2782.048191,1869.93672,0.0,0.09923,0.0889,NO2-Me,9,10,28,sra,35.41748172,7.295275
mof_unit_pretest_91,1864.736673,915.3506,2285.94,0.32664,0.4007,COOH-H,3,13,16,pcu,14.59998666,5.589674
mof_unit_pretest_92,3907.819254,3338.07328,0.0,0.0659299999999999,0.0465,SO3H,4,4,14,acs,70.95828911,8.56789
mof_unit_pretest_93,908.701268,841.35692,0.0,0.04776,0.0311,Pr-SO3H,3,10,21,pcu,47.38307386,8.153132000000001
mof_unit_pretest_94,1149.0473,736.1384,1379.67,0.2109199999999999,0.1983,NO2-OMe,3,11,14,pcu,32.53898479,6.296852
mof_unit_pretest_95,1679.695834,779.37646,2568.74,0.33129,0.43,Me,3,16,24,pcu,11.41180604,5.394302
mof_unit_pretest_96,2233.710764,1095.10232,1823.89,0.21413,0.263,OEt-NH2,2,16,23,pcu,23.2121564,6.25997
mof_unit_pretest_97,4684.725017,4759.53905,718.56,0.20271,0.1202,I-NHMe,4,17,23,acs,20.81684933,5.245294
mof_unit_pretest_98,1572.472031,777.3192799999999,2227.8,0.3235099999999999,0.3941,HCO-NHMe,3,1,17,pcu,13.87781189,5.165285
mof_unit_pretest_99,2053.717876,1106.00216,1622.31,0.25435,0.2844,Me-NO2,2,9,18,pcu,24.03168971,5.749308999999999
mof_unit_pretest_100,1144.401174,673.107573,1746.52,0.26863,0.275,OMe-F,3,11,14,pcu,14.12301712,5.257776
mof_unit_pretest_101,1121.100617,781.013866,1375.84,0.2278599999999999,0.197,OH-F,3,10,26,pcu,16.76279209,5.428269
mof_unit_pretest_102,3009.992883,1165.90236,3075.55,0.3714,0.5774,OMe-Pr,3,17,18,pcu,15.98836825,5.483103
mof_unit_pretest_103,1147.50538,992.7398,855.42,0.20811,0.1449,HCO-Br,3,1,4,pcu,25.31322078,5.903716999999999
mof_unit_pretest_104,1122.824457,975.67866,0.0,0.04133,0.0286,COOH-H,2,14,22,pcu,43.09127361,8.853197
mof_unit_pretest_105,4312.236264,1557.18168,3154.77,0.39283,0.6551,Et,9,26,26,sra,11.94418169,5.328795
mof_unit_pretest_106,5135.748307,2827.87712,1837.93,0.2989699999999999,0.327,SO3H,12,1,24,bcu,19.56361508,5.235513
mof_unit_pretest_107,1148.424853,776.44822,1444.87,0.24258,0.2161,SO3H-Br,2,11,14,pcu,17.14785698,5.915393
mof_unit_pretest_108,1688.117763,1391.50764,0.0,0.10019,0.0732,Cl,4,5,14,acs,96.15608372,7.372283
mof_unit_pretest_109,2259.884002,853.81876,3291.08,0.4098699999999999,0.6533,OPr,2,2,14,pcu,9.334486744,5.65405
mof_unit_pretest_110,5147.999759,2415.557053,2581.2,0.35462,0.4551,F,12,4,24,bcu,12.56424873,5.468529
mof_unit_pretest_111,774.386699,595.00888,801.93,0.15975,0.1252,OH-H,3,5,22,pcu,21.95529715,5.998167
mof_unit_pretest_112,1055.412045,817.42444,0.0,0.0,0.0,Ph,3,10,25,pcu,32.79344801,9.4903
mof_unit_pretest_113,2375.61512,1330.69746,723.04,0.18795,0.2021,OPr,9,2,25,sra,56.73471372,6.083343
mof_unit_pretest_114,2378.207486,1273.451502,2222.63,0.34087,0.3834,HCO-F,3,18,22,pcu,16.39685133,5.334199
mof_unit_pretest_115,4331.763479,2426.9078,1982.81,0.32773,0.3523,I,4,17,25,acs,27.37365869,4.966264
mof_unit_pretest_116,1995.919925,1845.051,0.0,0.0,0.0,NH2-CN,9,2,16,sra,5.924479868,9.482519
mof_unit_pretest_117,1982.539321,1170.20828,1278.93,0.20729,0.2115,COOH-NHMe,1,10,18,pcu,26.15137631,5.817625
mof_unit_pretest_118,4161.039632,2505.8078,1092.69,0.17634,0.1763,NH2-OMe,4,6,17,acs,11.00671795,7.538473
mof_unit_pretest_119,1689.563547,1033.70008,0.0,0.1303,0.1283,Ph-OPr,3,16,24,pcu,56.02925556,7.0201080000000005
mof_unit_pretest_120,2867.604392,2060.612156,922.32,0.19065,0.1598,NHMe-Cl,10,55,57,etb,25.91594815,7.185361
mof_unit_pretest_121,7720.197765999999,2984.9522,3452.99,0.40494,0.6307,Br-Pr,3,35,35,pts,8.557557095,5.722606
mof_unit_pretest_122,2792.356811,1845.08476,0.0,0.10611,0.0967,COOH-OPr,9,16,20,sra,17.87452741,7.906522
mof_unit_pretest_123,958.775758,783.3174799999999,0.0,0.04052,0.0299,OPr-OH,3,1,5,pcu,16.31514308,9.373349
mof_unit_pretest_124,1747.026275,807.57984,2467.52,0.35363,0.4607,HCO,2,1,8,pcu,22.93869682,5.629371
mof_unit_pretest_125,1688.329673,1410.67958,0.0,0.08641,0.0623,OEt-COOH,4,5,14,acs,49.06303552,7.898252
mof_unit_pretest_126,2870.00239,1080.95294,3543.17,0.42678,0.6824,NHMe,2,4,29,pcu,9.961563974,4.452032
mof_unit_pretest_127,1140.733634,754.41688,0.0,0.1321099999999999,0.1203,NH2-Et,3,4,22,pcu,24.6116065,6.549526999999999
mof_unit_pretest_128,904.869643,641.4092400000001,804.52,0.15677,0.1332,HCO-CN,2,1,10,pcu,38.90448439,6.542976
mof_unit_pretest_129,3095.555167,2438.22875,1110.27,0.2241199999999999,0.1714,Me-I,4,13,21,acs,20.78469527,5.6947220000000005
mof_unit_pretest_130,1346.448317,713.32014,1855.38,0.25088,0.2852,NHMe-Me,3,4,13,pcu,21.17823032,5.85266
mof_unit_pretest_131,676.382471,513.40436,0.0,0.09492,0.0753,Et,2,10,14,pcu,51.14021337,7.549067999999999
mof_unit_pretest_132,3729.301621,1917.15568,1791.88,0.35673,0.4179,SO3H,9,2,7,sra,17.13998273,5.583475
mof_unit_pretest_133,2386.317002,1776.6962600000002,204.39,0.12292,0.0994,SO3H-I,9,2,23,sra,75.4366802,8.347532000000001
mof_unit_pretest_134,1120.992986,613.5217200000001,1759.58,0.27628,0.304,H,2,4,4,pcu,12.48769999,5.340487
mof_unit_pretest_135,1947.266243,1698.61504,0.0,0.0933399999999999,0.0644,HCO-Br,4,1,15,acs,81.28921491,8.259375
mof_unit_pretest_136,1618.968537,1204.33104,0.0,0.1126,0.0912,H-NO2,9,1,2,sra,55.64127948,7.492014999999999
mof_unit_pretest_137,1096.329669,657.25864,853.78,0.15718,0.1579,NHMe-H,3,10,26,pcu,32.80552658,6.705356
mof_unit_pretest_138,1619.654037,1164.43128,817.23,0.15448,0.1294,HCO-H,9,12,22,sra,36.00516495,6.543727
mof_unit_pretest_139,4199.716173,1982.593916,2181.23,0.40624,0.5182,Br,10,43,54,etb,18.23175077,5.803796
mof_unit_pretest_140,1755.474886,781.30468,2632.56,0.37387,0.5059,COOH,3,4,26,pcu,15.15622531,5.031015
mof_unit_pretest_141,1135.03822,1171.33412,0.0,0.08211,0.0479,NHMe-Cl,2,22,24,pcu,32.98609899,7.951307000000001
mof_unit_pretest_142,2398.403558,872.2229,3500.67,0.44472,0.7364,Cl,2,16,26,pcu,10.83897848,5.390651999999999
mof_unit_pretest_143,4951.496709,2749.5904,1767.66,0.2388,0.259,COOH-H,4,7,23,acs,17.38975965,5.464942
mof_unit_pretest_144,5372.930279,2397.57752,2032.39,0.38704,0.5223,SO3H-HCO,9,3,3,sra,14.9368503,5.97393
mof_unit_pretest_145,1129.446519,573.13892,2290.0,0.31332,0.3718,NHMe,3,1,11,pcu,9.814337462,5.101187
mof_unit_pretest_146,1119.5682880000002,609.21078,1697.94,0.2446699999999999,0.2708,Pr,3,4,11,pcu,14.28023539,5.599216
mof_unit_pretest_147,2263.774718,905.97944,2811.41,0.33426,0.503,Pr,2,2,14,pcu,14.86757338,5.519496
mof_unit_pretest_148,1952.093122,1496.63348,655.99,0.14339,0.1126,OH-H,4,11,22,acs,49.01277444,7.11009
mof_unit_pretest_149,1592.644867,1153.0728800000002,1092.36,0.20417,0.1698,COOH-Cl,3,1,17,pcu,27.90610623,6.131951
mof_unit_pretest_150,2590.148488,1307.0022800000002,1985.87,0.26234,0.3131,Pr-NO2,12,4,22,bcu,13.46416258,5.941175
mof_unit_pretest_151,1818.893415,1246.05072,1477.67,0.26639,0.2342,COOH-Cl,2,1,26,pcu,14.44231104,5.805659
mof_unit_pretest_152,1103.239873,667.5724,1177.42,0.18886,0.188,CN-NHMe,2,4,24,pcu,32.92136542,6.099853
mof_unit_pretest_153,1684.0498350000005,901.82202,1748.32,0.2603,0.2927,NHMe-OMe,2,4,6,pcu,16.02681519,5.648513
mof_unit_pretest_154,1825.983447,1529.341942,582.53,0.11143,0.0801,Me-F,10,44,46,etb,18.79535645,6.5143830000000005
mof_unit_pretest_155,1824.129242,1019.55268,1492.66,0.19028,0.205,NHMe,3,10,29,pcu,53.69844884,7.366952
mof_unit_pretest_156,2266.176141,1590.66252,769.75,0.13782,0.1182,OMe-OH,3,14,14,pcu,55.09828224,6.698426
mof_unit_pretest_157,1573.369733,712.7009,2364.42,0.2514699999999999,0.3343,H-NHMe,2,12,23,pcu,14.24850867,5.03126
mof_unit_pretest_158,1080.225789,853.8158199999999,0.0,0.0,0.0,OPr-SO3H,2,12,22,pcu,136.8309415,8.124383
mof_unit_pretest_159,1795.415226,961.91198,1654.81,0.2322,0.261,Et-COOH,2,4,26,pcu,20.00590045,5.715706
mof_unit_pretest_160,1817.645851,1488.64248,0.0,0.06971,0.0513,SO3H-CN,9,2,19,sra,70.49067018,8.891691999999999
mof_unit_pretest_161,1939.1431760000005,1574.94686,0.0,0.06433,0.0477,Me-SO3H,4,1,9,acs,69.40245183,7.608714999999999
mof_unit_pretest_162,2239.6688710000003,1941.833716,0.0,0.04396,0.0305,OPr-NH2,10,49,57,etb,70.34043239,6.987013
mof_unit_pretest_163,1927.881551,1860.98176,0.0,0.0418,0.0261,SO3H-OH,9,13,24,sra,47.62180931,8.558397
mof_unit_pretest_164,2256.957162,1023.98136,2626.72,0.31465,0.4176,OMe-Me,2,13,17,pcu,14.27652264,5.754997
mof_unit_pretest_165,1138.466116,696.18534,1625.54,0.2279,0.2244,CN-SO3H,3,11,14,pcu,17.98338983,5.924987000000001
mof_unit_pretest_166,3493.0439590000005,1590.89494,2668.13,0.29915,0.3956,OMe-H,9,6,18,sra,39.98476837,6.709109
mof_unit_pretest_167,2606.564805,1588.22184,0.0,0.16158,0.1597,OH-HCO,12,9,11,bcu,45.61931697,7.129692
mof_unit_pretest_168,3965.486972,3457.3369310000003,0.0,0.10005,0.0691,F-HCO,4,1,11,acs,145.8519469,7.965403
mof_unit_pretest_169,2794.123018,1731.516296,1362.92,0.25225,0.2451,H-Et,10,42,53,etb,18.27376216,6.3325260000000005
mof_unit_pretest_170,3901.698032,2496.47388,1606.98,0.30472,0.2868,Cl,2,40,40,fof,32.63049637,6.678075
mof_unit_pretest_171,2238.476213,1286.21452,1315.13,0.20177,0.2115,NHMe-OH,2,17,24,pcu,33.79252262,6.370807
mof_unit_pretest_172,6295.00468,2497.65156,3573.96,0.37576,0.5703,OH-OMe,4,7,27,acs,14.48579991,5.984911
mof_unit_pretest_173,6507.569306,3968.413472,1032.37,0.19012,0.1877,Et-H,10,43,43,etb,20.35760586,5.662479
mof_unit_pretest_174,1217.118496,759.74904,0.0,0.11715,0.113,Pr-OH,2,4,19,pcu,23.93358258,6.745928
mof_unit_pretest_175,5050.478542,2824.0108800000003,1106.59,0.21035,0.2265,OMe,12,24,24,bcu,24.12071258,6.882797999999999
mof_unit_pretest_176,1683.937675,907.237693,2219.59,0.28039,0.3134,F-NH2,3,5,28,pcu,16.21914154,5.353354
mof_unit_pretest_177,1553.819902,1326.0009699999998,1062.57,0.2492,0.1759,Br-I,2,4,17,pcu,21.27608561,5.601234
mof_unit_pretest_178,1064.18815,751.30196,0.0,0.16648,0.142,Cl-H,2,24,24,pcu,14.83235851,5.650265
mof_unit_pretest_179,2076.979732,1330.45852,1220.79,0.2185,0.2054,Br-Pr,12,1,10,bcu,27.03295143,5.803743
mof_unit_pretest_180,1337.750619,787.562083,1655.61,0.25835,0.2643,COOH-F,2,4,13,pcu,16.85115822,5.278165
mof_unit_pretest_181,4360.336129,2216.61216,2035.07,0.28791,0.3411,NH2-OPr,1,1,9,pcu,12.50898963,5.869273000000001
mof_unit_pretest_182,3749.358375,1055.75196,4439.93,0.5273800000000001,1.1279,NH2-Me,3,18,26,pcu,11.36491866,4.9709650000000005
mof_unit_pretest_183,1121.820647,839.83524,0.0,0.04573,0.0368,Pr-OH,2,4,9,pcu,14.79120559,8.378703999999999
mof_unit_pretest_184,1667.550782,949.8712,1171.62,0.20123,0.2127,CN-Et,2,14,23,pcu,26.59120313,6.248635
mof_unit_pretest_185,1668.981799,783.40822,2625.65,0.31606,0.4055,Pr-Et,3,14,25,pcu,13.3587381,5.605266
mof_unit_pretest_186,3442.630644,2244.671696,1385.94,0.26045,0.2406,NO2-HCO,10,50,54,etb,16.14651525,6.122266000000001
mof_unit_pretest_187,3772.816762,1913.697736,1914.78,0.35507,0.4216,H-NH2,10,51,54,etb,17.5463788,5.986096
mof_unit_pretest_188,4334.121798,1914.1859600000005,2805.6,0.36671,0.5,H-NO2,4,2,25,acs,14.3876494,4.832255
mof_unit_pretest_189,1668.9254970000002,895.36096,1820.67,0.24415,0.2741,H-HCO,3,4,23,pcu,23.02159584,5.710565
mof_unit_pretest_190,2367.908646,1523.920358,1687.32,0.25738,0.2408,F-SO3H,2,12,28,pcu,29.10344189,5.834708999999999
mof_unit_pretest_191,3055.152439,1354.83308,2866.87,0.37376,0.5076,NO2,12,4,13,bcu,14.94731675,5.013868
mof_unit_pretest_192,1117.370502,585.4685599999999,2019.1,0.3276199999999999,0.3765,,2,1,14,pcu,8.702856652000001,5.333503
mof_unit_pretest_193,1964.682183,1106.1561800000002,1860.78,0.25104,0.2685,OH-Pr,1,10,18,pcu,15.51098764,5.440875
mof_unit_pretest_194,1451.09438,847.28808,1454.4,0.2241,0.2311,CN-HCO,3,12,18,pcu,19.71847852,6.069954
mof_unit_pretest_195,3982.51073,4045.761251,0.0,0.04147,0.0246,OH-F,4,4,15,acs,59.5958129,10.504869
mof_unit_pretest_196,1071.892378,547.5051599999999,2096.72,0.2580699999999999,0.3043,Et,2,12,22,pcu,10.23786298,5.461244000000001
mof_unit_pretest_197,2304.219981,1517.2024,264.19,0.0795299999999999,0.0727,Et-H,9,17,22,sra,39.95604885,8.323447999999999
mof_unit_pretest_198,3184.483518,847.4934800000001,4498.2,0.56004,1.2673,Me,3,3,5,pcu,5.866541027999999,4.773778
mof_unit_pretest_199,2217.503285,1029.58464,2669.9,0.39474,0.512,Br-HCO,2,17,22,pcu,12.77408908,4.870674
mof_unit_pretest_200,1599.357108,1040.2956,934.31,0.15872,0.147,H-OMe,9,5,13,sra,21.29116661,6.40984
mof_unit_pretest_201,3191.649406,1124.35708,3044.53,0.33274,0.5688,Pr,2,3,5,pcu,16.60531773,5.965314
mof_unit_pretest_202,2196.310914,1142.08252,1980.99,0.25119,0.2909,SO3H-NHMe,2,18,19,pcu,20.56871573,5.802122
mof_unit_pretest_203,2932.722451,1028.31916,4211.75,0.45735,0.7855,Me-Cl,2,11,29,pcu,6.976184257000001,4.426444999999999
mof_unit_pretest_204,2921.8050350000003,1248.06876,2706.68,0.36687,0.5172,OEt-COOH,2,8,9,pcu,9.433643039,5.741276999999999
mof_unit_pretest_205,3103.867557,2011.716726,1343.0,0.24136,0.2243,F-I,12,9,13,bcu,16.29223327,6.101636
